step,adv_reward/adv_reward_raw_min
2000,-100.0
4000,381.872314453125
6000,203.7562255859375
8000,-21.665395736694336
10000,91.36821746826172
12000,212.44981384277344
14000,-100.0
16000,23.78843116760254
18000,171.62448120117188
20000,61.53623962402344
22000,24.35245704650879
24000,215.7344207763672
26000,160.89447021484375
28000,-23.63076400756836
30000,-12.660481452941895
32000,418.5472717285156
34000,236.11143493652344
36000,-11.227293014526367
38000,216.95166015625
40000,-12.5914306640625
42000,191.95643615722656
44000,221.73936462402344
46000,161.4191436767578
48000,-23.495838165283203
50000,115.9520263671875
52000,395.5883483886719
54000,132.16534423828125
56000,310.50592041015625
58000,-23.247573852539062
60000,-7.637648105621338
62000,-10.184914588928223
64000,-10.035234451293945
66000,65.3531723022461
68000,-12.63519287109375
70000,-25.490659713745117
72000,223.17222595214844
74000,127.87952423095703
76000,236.6605682373047
78000,120.13463592529297
80000,52.94382095336914
82000,336.4707946777344
84000,421.48089599609375
86000,272.8619689941406
88000,92.90970611572266
90000,-10.69830322265625
92000,-11.784313201904297
94000,-12.664756774902344
96000,-23.113054275512695
98000,-10.127518653869629
100000,16.205385208129883
