step,adv_reward/adv_reward_raw_min
2000,96.51233673095703
4000,-100.0
6000,56.343788146972656
8000,54.37360763549805
10000,-100.0
12000,-12.26346206665039
14000,222.85504150390625
16000,-23.404979705810547
18000,-24.362709045410156
20000,62.78001022338867
22000,8.100293159484863
24000,-13.88338851928711
26000,-100.0
28000,152.36083984375
30000,86.84221649169922
32000,-100.0
34000,217.10414123535156
36000,73.73452758789062
38000,-22.3558292388916
40000,71.18350982666016
42000,69.95796203613281
44000,-5.805695056915283
46000,-20.79458236694336
48000,190.59930419921875
50000,159.47520446777344
52000,322.1263122558594
54000,6.317411422729492
56000,27.870014190673828
58000,-2.71212100982666
60000,108.15359497070312
62000,-10.787209510803223
64000,307.32635498046875
66000,30.553464889526367
68000,-24.45778465270996
70000,15.154698371887207
72000,95.38438415527344
74000,-100.0
76000,113.75564575195312
78000,58.09384536743164
80000,-12.347590446472168
82000,90.48314666748047
84000,86.9439468383789
86000,66.51776123046875
88000,-100.0
90000,-22.364063262939453
92000,-12.658686637878418
94000,54.96214294433594
96000,51.80363082885742
98000,68.98311614990234
100000,96.66236877441406
