step,adv_reward/adv_reward_raw_mean
2000,111.2025375366211
4000,34.943756103515625
6000,58.69099426269531
8000,67.72911071777344
10000,10.981949806213379
12000,-9.875101089477539
14000,226.37091064453125
16000,-11.066640853881836
18000,-17.119853973388672
20000,75.82699584960938
22000,11.316999435424805
24000,-12.076622009277344
26000,24.205581665039062
28000,156.63540649414062
30000,93.77063751220703
32000,1.4472389221191406
34000,228.39683532714844
36000,80.20311737060547
38000,-13.803882598876953
40000,78.00678253173828
42000,76.093505859375
44000,5.375950813293457
46000,-12.96691608428955
48000,192.74722290039062
50000,163.51498413085938
52000,335.2528076171875
54000,15.183589935302734
56000,46.31127166748047
58000,15.85323429107666
60000,114.33202362060547
62000,-6.75159215927124
64000,311.10955810546875
66000,40.29536819458008
68000,-8.944891929626465
70000,27.860483169555664
72000,97.00807189941406
74000,63.510597229003906
76000,121.07599639892578
78000,60.12024688720703
80000,-11.71479606628418
82000,92.88880920410156
84000,87.92078399658203
86000,74.03258514404297
88000,23.051013946533203
90000,-13.960865020751953
92000,-10.712881088256836
94000,59.07472610473633
96000,54.62824249267578
98000,70.60078430175781
100000,100.76200866699219
