step,adv_reward/adv_reward_scaled_max
2000,99.99998474121094
4000,99.99835205078125
6000,99.94641876220703
8000,99.99980926513672
10000,99.98138427734375
12000,-52.21239471435547
14000,100.0
16000,-29.007354736328125
18000,-59.28148651123047
20000,99.99984741210938
22000,78.80160522460938
24000,-59.01747131347656
26000,99.98359680175781
28000,100.0
30000,99.99976348876953
32000,99.40644073486328
34000,100.0
36000,99.99825286865234
38000,13.407750129699707
40000,99.99768829345703
42000,99.9968490600586
44000,64.6854019165039
46000,-55.40215301513672
48000,100.0
50000,100.0
52000,100.0
54000,84.83671569824219
56000,99.95292663574219
58000,96.13897705078125
60000,99.99996185302734
62000,-17.555444717407227
64000,100.0
66000,99.4876937866211
68000,7.878684997558594
70000,99.53457641601562
72000,99.9996337890625
74000,99.9999771118164
76000,99.99999237060547
78000,99.95893859863281
80000,-63.34678268432617
82000,99.99935150146484
84000,99.99848175048828
86000,99.99304962158203
88000,99.96696472167969
90000,-56.28850173950195
92000,-52.45241928100586
94000,99.93984985351562
96000,99.89715576171875
98000,99.98543548583984
100000,99.99984741210938
