step,loss/approx_kl
2000,-0.07594806390504041
4000,-0.02936181356975188
6000,-0.09614499009524782
8000,0.02298800180821369
10000,-0.08137969692082456
12000,-0.04930442848708481
14000,-0.06515848774773378
16000,-0.00376287785669168
18000,-0.06575413245397309
20000,-0.06165283032072087
22000,0.04594218883042534
24000,-0.07259800055374702
26000,-0.06542187932257851
28000,-0.048127994911434754
30000,0.03137718585009376
32000,-0.05425984528847039
34000,-0.07741968235156188
36000,-0.053239245371272156
38000,-0.07226198109177252
40000,-0.0763413741098096
42000,-0.0602560301233704
44000,-0.018994249682873488
46000,-0.04824836700378606
48000,-0.022790020254130162
50000,-0.04897793598162632
52000,-0.0565103033479924
54000,-0.05257567217728744
56000,-0.02167151557902495
58000,-0.08203930013502637
60000,-0.05540695317710439
62000,-0.03948299974047889
64000,-0.06101891031333555
66000,-0.037289166132298615
68000,-0.019782048432777328
70000,-0.025588076072745027
72000,0.07408337999756137
74000,-0.04818785009750475
76000,-0.031374751054681835
78000,-0.04359943048718075
80000,-0.04649389151018113
82000,-0.029951947671361268
84000,-0.007584471418522298
86000,-0.07457022711945077
88000,-0.05626915572211146
90000,-0.035814234109905856
92000,-0.04372277283885827
94000,-0.0808189949641625
96000,-0.050814766793822255
98000,-0.06825498845428228
100000,-0.041143428790383046
