step,loss/approx_kl
2000,-0.02219952642917633
4000,0.014884459475676218
6000,-0.051336944693078604
8000,-0.027243092710462706
10000,-0.04982874338359883
12000,-0.04030880115460604
14000,-0.04065967582476636
16000,-9.765995976825856e-05
18000,-0.04268367427090804
20000,-0.04396359963963429
22000,0.006179484515450895
24000,-0.04423616470303387
26000,-0.03697177323823174
28000,-0.00770977184486886
30000,-0.022926210953543583
32000,-0.02626945562660694
34000,0.13306539063341916
36000,-0.033081602134431405
38000,-0.04665183656228085
40000,-0.030928546609357
42000,-0.03456522985361516
44000,-0.05184678363148123
46000,-0.026106089858027797
48000,-0.016267901418420175
50000,-0.039781929063610735
52000,-0.0241731534867237
54000,-0.013601166234972577
56000,0.048215510789304965
58000,-0.016791324876248837
60000,-0.022226952148290974
62000,-0.0012338728721564018
64000,-0.02748441367099682
66000,-0.0064707226663207025
68000,-0.02005807925015688
70000,-0.03100966310594231
72000,-0.04153332714922726
74000,-0.03215214045873533
76000,-0.02082950894255191
78000,0.019047560193575917
80000,-0.026521005807444452
82000,-0.030284319375641643
84000,-0.0007501567481085659
86000,-0.019845953087011974
88000,-0.019370599424776935
90000,-0.03851636026520282
92000,-0.018067102887046833
94000,-0.03763977405615151
96000,-0.025615433355172475
98000,-0.0008860168124859531
100000,-0.0009905553267647823
