step,adv_reward/adv_reward_scaled_mean
2000,99.99999237060547
4000,100.0
6000,100.0
8000,-71.83168029785156
10000,100.0
12000,100.0
14000,100.0
16000,100.0
18000,40.87517547607422
20000,100.0
22000,100.0
24000,100.0
26000,100.0
28000,100.0
30000,-76.97988891601562
32000,100.0
34000,-69.66751098632812
36000,-79.71662902832031
38000,100.0
40000,-78.1055679321289
42000,100.0
44000,99.9994888305664
46000,60.52008819580078
48000,100.0
50000,-71.22268676757812
52000,-74.32264709472656
54000,21.914886474609375
56000,100.0
58000,99.99980926513672
60000,99.99972534179688
62000,99.97148895263672
64000,50.00008010864258
66000,-76.104248046875
68000,100.0
70000,100.0
72000,100.0
74000,98.8573226928711
76000,100.0
78000,100.0
80000,100.0
82000,100.0
84000,99.99542236328125
86000,100.0
88000,96.648193359375
90000,99.9991455078125
92000,-68.86216735839844
94000,99.99964904785156
96000,-65.99763488769531
98000,87.5314712524414
100000,99.99433135986328
