step,adv_reward/adv_reward_scaled_max
2000,99.99999237060547
4000,100.0
6000,100.0
8000,-63.13522720336914
10000,100.0
12000,100.0
14000,100.0
16000,100.0
18000,62.099815368652344
20000,100.0
22000,100.0
24000,100.0
26000,100.0
28000,100.0
30000,-69.08501434326172
32000,100.0
34000,-66.93624877929688
36000,-75.89051818847656
38000,100.0
40000,-71.4332504272461
42000,100.0
44000,99.99954986572266
46000,64.74506378173828
48000,100.0
50000,-64.43421173095703
52000,-70.70515441894531
54000,40.528133392333984
56000,100.0
58000,99.99983978271484
60000,99.99976348876953
62000,99.98638153076172
64000,100.0
66000,-69.0008316040039
68000,100.0
70000,100.0
72000,100.0
74000,99.43374633789062
76000,100.0
78000,100.0
80000,100.0
82000,100.0
84000,99.99746704101562
86000,100.0
88000,97.26921081542969
90000,99.999267578125
92000,-61.072242736816406
94000,99.99967956542969
96000,-61.455909729003906
98000,94.27845764160156
100000,99.99556732177734
