step,adv_reward/adv_reward_raw_max
2000,126.21775817871094
4000,464.6219787597656
6000,176.40599060058594
8000,-11.154922485351562
10000,164.41189575195312
12000,137.2312774658203
14000,340.2052001953125
16000,144.01588439941406
18000,10.899421691894531
20000,145.60971069335938
22000,145.16783142089844
24000,176.2664337158203
26000,212.8354949951172
28000,202.87030029296875
30000,-12.743703842163086
32000,164.46575927734375
34000,-12.14380931854248
36000,-14.904424667358398
38000,215.88087463378906
40000,-13.439629554748535
42000,196.08543395996094
44000,97.55886840820312
46000,11.56345272064209
48000,196.38467407226562
50000,-11.483448028564453
52000,-13.218947410583496
54000,6.449282646179199
56000,175.7236785888672
58000,105.11381530761719
60000,102.27984619140625
62000,71.95816040039062
64000,413.29736328125
66000,-12.719573974609375
68000,184.74441528320312
70000,144.4743194580078
72000,219.423583984375
74000,43.98150634765625
76000,139.14646911621094
78000,181.77679443359375
80000,225.84976196289062
82000,177.80911254882812
84000,84.58018493652344
86000,362.2669677734375
88000,32.0998420715332
90000,93.84545135498047
92000,-10.651090621948242
94000,100.06500244140625
96000,-10.743219375610352
98000,26.437908172607422
100000,80.37958526611328
