step,stat/ep_return
2000,10.64209029806746
4000,3.9985045006380675
6000,7.9937426235629925
8000,11.486720991918737
10000,15.510816252289505
12000,13.227475375819276
14000,11.277065719383305
16000,12.733036082462842
18000,12.758053096240824
20000,10.436285680113395
22000,12.09227785912309
24000,9.754281753382362
26000,9.94330527455729
28000,8.265067635641703
30000,6.697909818801736
32000,8.353821253579042
34000,8.785100682252796
36000,6.806314199033457
38000,9.037730311425758
40000,4.735297535147664
42000,5.995764208991763
44000,12.167185287619423
46000,4.108901295468907
48000,13.505270916912092
50000,4.872136282644562
52000,13.602735184378338
54000,9.323359568943678
56000,6.717882531236464
58000,3.8122864902768256
60000,5.77757577413243
62000,8.063587985488006
64000,5.58971573747493
66000,6.317769651411588
68000,7.538135049725321
70000,9.575148713610648
72000,9.426888769523242
74000,10.126656444588473
76000,6.191815673813617
78000,11.627085245555728
80000,7.440173345943616
82000,4.27594714987777
84000,9.28016955040589
86000,4.77167127333832
88000,8.319051103181915
90000,8.99933018762071
92000,7.414681667128401
94000,9.907694574574744
96000,5.244118343345226
98000,7.9350124217387705
100000,8.515201381972977
