step,stat/constraint_violation
2000,1080
4000,2208
6000,3300
8000,4334
10000,5363
12000,6328
14000,7229
16000,8134
18000,9134
20000,10016
22000,10982
24000,12047
26000,12959
28000,13837
30000,15147
32000,16564
34000,18018
36000,19545
38000,20835
40000,22211
42000,23814
44000,25076
46000,26517
48000,28003
50000,29351
52000,30705
54000,32235
56000,33666
58000,35094
60000,36611
62000,37962
64000,39426
66000,40966
68000,42341
70000,43697
72000,45265
74000,46653
76000,48084
78000,49666
80000,51059
82000,52494
84000,54002
86000,55360
88000,56868
90000,58411
92000,59744
94000,61223
96000,62782
98000,64236
100000,65664
