step,adv_reward/adv_reward_scaled_mean
2000,99.98530578613281
4000,50.00008010864258
6000,100.0
8000,99.98269653320312
10000,100.0
12000,99.99642944335938
14000,100.0
16000,-13.43668270111084
18000,-64.6524658203125
20000,100.0
22000,-52.09684753417969
24000,99.9963607788086
26000,100.0
28000,96.58796691894531
30000,99.99998474121094
32000,100.0
34000,100.0
36000,100.0
38000,100.0
40000,100.0
42000,100.0
44000,100.0
46000,100.0
48000,100.0
50000,100.0
52000,100.0
54000,100.0
56000,100.0
58000,50.00008010864258
60000,100.0
62000,100.0
64000,100.0
66000,100.0
68000,100.0
70000,100.0
72000,100.0
74000,50.00008010864258
76000,100.0
78000,100.0
80000,50.00008010864258
82000,99.99153137207031
84000,100.0
86000,100.0
88000,100.0
90000,99.93448638916016
92000,100.0
94000,100.0
96000,100.0
98000,99.86917877197266
100000,61.34461212158203
