step,adv_reward/adv_reward_raw_min
2000,66.39241790771484
4000,-100.0
6000,172.6264190673828
8000,68.18851470947266
10000,148.08352661132812
12000,80.23424530029297
14000,285.302978515625
16000,-9.077290534973145
18000,-24.06196403503418
20000,150.36325073242188
22000,-22.46312141418457
24000,79.06639099121094
26000,191.24224853515625
28000,25.829992294311523
30000,116.76889038085938
32000,185.2634735107422
34000,201.96241760253906
36000,194.60533142089844
38000,153.32395935058594
40000,183.78895568847656
42000,133.92276000976562
44000,281.48321533203125
46000,346.2396545410156
48000,311.5089416503906
50000,336.3857727050781
52000,281.30615234375
54000,256.9810485839844
56000,167.93748474121094
58000,-100.0
60000,330.9264221191406
62000,259.21197509765625
64000,346.12371826171875
66000,206.0341033935547
68000,244.24229431152344
70000,632.5335693359375
72000,485.0576477050781
74000,-100.0
76000,335.5418701171875
78000,434.2897644042969
80000,-100.0
82000,66.31786346435547
84000,450.452392578125
86000,178.08775329589844
88000,301.6806335449219
90000,53.75896453857422
92000,411.2766418457031
94000,170.02798461914062
96000,320.65631103515625
98000,46.82328796386719
100000,-0.2603152096271515
