step,stat/ep_reward
10000,0.4100188247896271
20000,0.4865265509581084
30000,0.3762713320961469
40000,0.45108160991107155
50000,0.29389452206298783
60000,0.49497997137997213
70000,0.4843165255802308
80000,0.3902826990301683
90000,0.4336767263036222
100000,0.3000103732593796
110000,0.4882620875138257
120000,0.39183102977959977
130000,0.3226664194822654
140000,0.35978235983868495
150000,0.4077333389504224
160000,0.359119852472923
170000,0.4128335636823346
180000,0.3146081993109144
190000,0.39413192299607835
200000,0.297131671741786
210000,0.3435120474655135
220000,0.4035307049522183
230000,0.37830457111448296
240000,0.3840406110794111
250000,0.44148890433006027
260000,0.4214832591484762
270000,0.2567438425655053
280000,0.3446524821694511
290000,0.3592905364497468
300000,0.31352880267677274
310000,0.4164355014631769
320000,0.39905824639523024
330000,0.34230830575310656
340000,0.4061143148195173
350000,0.29995827415911963
360000,0.3957825985214599
370000,0.36250205186115425
380000,0.34953568554038816
390000,0.33316028490102956
400000,0.2712771557042385
410000,0.3027813316513859
420000,0.38118427294379476
430000,0.3220835227082376
440000,0.3879187721853613
450000,0.35513124515164196
460000,0.3379379703217305
470000,0.43466540707312606
480000,0.37457080487166794
490000,0.38709933344769343
500000,0.4369378078013785
