step,stat/step_time
10000,3.596372604370117
20000,3.9357833862304688
30000,3.983227014541626
40000,3.7506659030914307
50000,3.761528730392456
60000,4.014381170272827
70000,3.5312952995300293
80000,3.712169885635376
90000,3.82360577583313
100000,3.8761894702911377
110000,3.746613025665283
120000,3.8323235511779785
130000,4.2744104862213135
140000,4.2938313484191895
150000,4.137952566146851
160000,4.0225911140441895
170000,3.9870221614837646
180000,4.124032974243164
190000,3.965327739715576
200000,3.880815029144287
210000,3.9804813861846924
220000,3.8791491985321045
230000,3.855278491973877
240000,4.069656133651733
250000,3.9312973022460938
260000,3.943678140640259
270000,4.573938608169556
280000,3.9142606258392334
290000,3.9929420948028564
300000,4.48065447807312
310000,3.9208498001098633
320000,4.0810325145721436
330000,3.8960747718811035
340000,4.019163370132446
350000,4.210627555847168
360000,4.185455322265625
370000,3.9754245281219482
380000,3.6290082931518555
390000,6.186196804046631
400000,3.9262478351593018
410000,3.892240285873413
420000,3.7788970470428467
430000,4.230790853500366
440000,3.6794826984405518
450000,3.998049736022949
460000,4.132622957229614
470000,3.938969373703003
480000,4.194322824478149
490000,3.987912893295288
500000,3.7008702754974365
