step,stat/ep_return
10000,72.33874664767912
20000,52.87244235274197
30000,28.502069186107178
40000,57.20712546969664
50000,29.07106107079336
60000,57.07021697818036
70000,72.21350972665596
80000,64.1534152361544
90000,70.3861176192199
100000,42.19354153886469
110000,65.71127739676868
120000,62.514085915994336
130000,30.53760930495239
140000,24.512387406344963
150000,40.2518616458986
160000,35.888830313344556
170000,44.264159786197595
180000,27.095366402149363
190000,51.883702964415136
200000,33.531283446383995
210000,34.36376357253448
220000,63.798769328732746
230000,37.29972592845273
240000,29.72017840307807
250000,53.30995661558994
260000,40.25320609461731
270000,17.635863145752957
280000,41.95684512380446
290000,36.76163751565046
300000,19.026568785522095
310000,67.57032008551134
320000,46.18443541637906
330000,45.14368250049909
340000,45.22258359535992
350000,21.431555725586612
360000,35.9766016613661
370000,46.62426498299428
380000,48.7580912236351
390000,44.351343274698756
400000,25.966574393749397
410000,42.781420991831645
420000,37.3706461659663
430000,28.76778402677821
440000,49.90722914365307
450000,38.940430264546244
460000,35.22659468175006
470000,54.50486502970439
480000,44.08253300876805
490000,45.94946869969782
500000,65.99588441993953
