step,stat/constraint_violation
2000,1209
4000,2391
6000,3627
8000,4820
10000,5907
12000,6925
14000,7950
16000,8925
18000,9880
20000,10703
22000,11415
24000,12650
26000,13668
28000,14482
30000,15179
32000,15842
34000,16532
36000,17602
38000,18510
40000,19476
42000,20126
44000,20824
46000,21476
48000,22229
50000,22622
52000,23145
54000,23888
56000,24415
58000,25076
60000,25962
62000,26737
64000,27518
66000,28094
68000,28572
70000,29054
72000,29424
74000,29986
76000,30721
78000,31572
80000,31967
82000,32499
84000,33217
86000,33715
88000,34608
90000,35669
92000,36230
94000,36768
96000,37374
98000,37864
100000,38485
