step,stat/ep_length
2000,11.6
4000,14.3
6000,30.6
8000,33.1
10000,41.2
12000,42.3
14000,36.0
16000,40.2
18000,45.9
20000,58.8
22000,68.3
24000,40.9
26000,37.6
28000,67.4
30000,73.4
32000,55.8
34000,69.9
36000,48.7
38000,49.0
40000,46.7
42000,76.7
44000,60.9
46000,78.9
48000,50.7
50000,90.9
52000,107.7
54000,97.4
56000,67.6
58000,57.9
60000,70.9
62000,51.3
64000,57.3
66000,82.4
68000,135.4
70000,101.8
72000,135.3
74000,96.0
76000,95.1
78000,108.5
80000,129.5
82000,106.6
84000,122.8
86000,121.8
88000,86.0
90000,135.7
92000,93.1
94000,132.9
96000,150.0
98000,150.0
100000,101.5
