step,adv_reward/adv_reward_raw_min
2000,-8.594018936157227
4000,-100.0
6000,167.25369262695312
8000,70.03717803955078
10000,33.33699417114258
12000,11.671743392944336
14000,12.849858283996582
16000,182.2567901611328
18000,176.4945831298828
20000,39.67197036743164
22000,193.099609375
24000,118.14642333984375
26000,-100.0
28000,4.064633846282959
30000,690.171630859375
32000,229.51788330078125
34000,194.2665557861328
36000,577.6506958007812
38000,397.3461608886719
40000,391.4929504394531
42000,388.0209655761719
44000,520.2402954101562
46000,424.7982177734375
48000,563.2987670898438
50000,492.8534851074219
52000,285.3277893066406
54000,459.75091552734375
56000,242.06039428710938
58000,365.07489013671875
60000,533.5426635742188
62000,343.9283752441406
64000,358.0003356933594
66000,380.4612121582031
68000,340.2559509277344
70000,680.1386108398438
72000,716.6779174804688
74000,332.8476257324219
76000,385.9444885253906
78000,741.5517578125
80000,585.7501220703125
82000,131.72927856445312
84000,738.9788818359375
86000,298.1495056152344
88000,-100.0
90000,287.6503601074219
92000,613.0185546875
94000,271.3892822265625
96000,714.31005859375
98000,512.8116455078125
100000,444.09027099609375
