step,adv_reward/adv_reward_raw_mean
2000,29.085948944091797
4000,292.67352294921875
6000,157.1392364501953
8000,-4.897305488586426
10000,1.1380589008331299
12000,230.17083740234375
14000,357.7801818847656
16000,66.06686401367188
18000,295.49176025390625
20000,254.49969482421875
22000,16.982574462890625
24000,235.15316772460938
26000,39.700279235839844
28000,98.74588012695312
30000,303.845947265625
32000,133.97373962402344
34000,-14.442367553710938
36000,-13.546871185302734
38000,466.1801452636719
40000,-8.257306098937988
42000,265.3930358886719
44000,-32.83467102050781
46000,-7.471776008605957
48000,-14.692359924316406
50000,-12.864215850830078
52000,-6.571776390075684
54000,244.033203125
56000,329.14154052734375
58000,236.3546142578125
60000,-10.860515594482422
62000,-11.282934188842773
64000,-11.009981155395508
66000,230.48782348632812
68000,-11.498735427856445
70000,-8.798349380493164
72000,387.47314453125
74000,-34.48895263671875
76000,-18.260791778564453
78000,80.41217041015625
80000,-9.999775886535645
82000,285.89508056640625
84000,198.83419799804688
86000,-8.469592094421387
88000,-11.1681547164917
90000,266.260009765625
92000,278.9789733886719
94000,274.15985107421875
96000,-10.602636337280273
98000,-11.352036476135254
100000,156.9681396484375
