step,adv_reward/adv_reward_scaled_min
2000,25.086971282958984
4000,282.98895263671875
6000,156.10350036621094
8000,5.251773834228516
10000,6.59274435043335
12000,228.09805297851562
14000,351.2341613769531
16000,55.80324935913086
18000,285.58319091796875
20000,244.68067932128906
22000,11.960702896118164
24000,234.18663024902344
26000,0.019077369943261147
28000,94.45044708251953
30000,292.9042053222656
32000,124.80069732666016
34000,3.022516965866089
36000,3.071037530899048
38000,465.2602844238281
40000,3.058156728744507
42000,257.486572265625
44000,0.019077369943261147
46000,5.5340352058410645
48000,2.998894214630127
50000,2.626539468765259
52000,3.02089262008667
54000,238.58740234375
56000,314.0978698730469
58000,225.08203125
60000,5.134220123291016
62000,4.762705326080322
64000,4.699451446533203
66000,228.1611785888672
68000,4.703274250030518
70000,6.213686466217041
72000,384.8436279296875
74000,0.019077369943261147
76000,2.598942756652832
78000,78.83300018310547
80000,4.960468292236328
82000,284.61175537109375
84000,188.62684631347656
86000,4.823287487030029
88000,5.009619235992432
90000,265.84979248046875
92000,278.6187744140625
94000,271.98260498046875
96000,5.01292610168457
98000,5.048526763916016
100000,148.99082946777344
