step,adv_reward/adv_reward_raw_max
2000,33.23019027709961
4000,302.35009765625
6000,157.99737548828125
8000,9.598830223083496
10000,16.429718017578125
12000,233.54270935058594
14000,371.89324951171875
16000,90.75560760498047
18000,299.4991455078125
20000,263.9852600097656
22000,23.83774185180664
24000,235.8653106689453
26000,99.58207702636719
28000,104.07536315917969
30000,309.5941162109375
32000,146.1472625732422
34000,-8.789880752563477
36000,-10.112777709960938
38000,467.8552551269531
40000,10.639599800109863
42000,272.7600402832031
44000,-9.1597261428833
46000,-1.3353368043899536
48000,-11.406922340393066
50000,-8.136940002441406
52000,18.24834442138672
54000,250.90965270996094
56000,359.66375732421875
58000,263.5475158691406
60000,-9.270060539245605
62000,-7.980841159820557
64000,-7.031188488006592
66000,232.24697875976562
68000,-8.598806381225586
70000,-6.908697605133057
72000,389.0928039550781
74000,-10.147552490234375
76000,-9.511141777038574
78000,81.48457336425781
80000,-5.448890686035156
82000,288.1272277832031
84000,204.5244598388672
86000,5.046247959136963
88000,-8.4949312210083
90000,266.86126708984375
92000,279.1747741699219
94000,276.0505676269531
96000,-8.254356384277344
98000,-6.350618362426758
100000,168.83615112304688
