step,adv_reward/adv_reward_scaled_mean
2000,31.174137115478516
4000,292.67352294921875
6000,157.13966369628906
8000,8.764830589294434
10000,11.768341064453125
12000,230.17083740234375
14000,357.7801818847656
16000,66.313720703125
18000,295.49176025390625
20000,254.49969482421875
22000,21.628923416137695
24000,235.15318298339844
26000,64.74724578857422
28000,98.76721954345703
30000,303.845947265625
32000,133.9760284423828
34000,5.0118842124938965
36000,5.267455101013184
38000,466.1801452636719
40000,7.918878078460693
42000,265.3930358886719
44000,4.559284687042236
46000,7.264625549316406
48000,4.915802955627441
50000,5.612789154052734
52000,9.281914710998535
54000,244.033203125
56000,329.14154052734375
58000,236.3546142578125
60000,5.948310375213623
62000,5.842081069946289
64000,5.9725847244262695
66000,230.48782348632812
68000,5.781283378601074
70000,6.644651889801025
72000,387.47314453125
74000,4.047257900238037
76000,4.145228385925293
78000,80.48262786865234
80000,6.311208724975586
82000,285.89508056640625
84000,198.834228515625
86000,7.257373332977295
88000,5.857073783874512
90000,266.260009765625
92000,278.9789733886719
94000,274.15985107421875
96000,6.046393871307373
98000,5.836026668548584
100000,156.96864318847656
