step,adv_reward/adv_reward_raw_min
2000,-100.0
4000,4.86538553237915
6000,1.6470857858657837
8000,-100.0
10000,2.9603967666625977
12000,-7.475064277648926
14000,3.9236862659454346
16000,-8.47567081451416
18000,1.0403088331222534
20000,5.041304111480713
22000,4.171087741851807
24000,-9.263947486877441
26000,3.2005443572998047
28000,5.228336334228516
30000,-6.867527961730957
32000,4.692852973937988
34000,3.271374464035034
36000,-6.998966217041016
38000,-100.0
40000,3.4499895572662354
42000,-7.143257141113281
44000,3.0487825870513916
46000,-100.0
48000,2.182863235473633
50000,3.618725061416626
52000,-6.916227340698242
54000,-9.199056625366211
56000,-100.0
58000,2.256004810333252
60000,1.5669372081756592
62000,4.665473461151123
64000,-100.0
66000,1.9735419750213623
68000,3.399576187133789
70000,3.0487396717071533
72000,1.8799219131469727
74000,4.881147384643555
76000,-6.486595630645752
78000,2.324638843536377
80000,2.5457446575164795
82000,4.15291690826416
84000,-7.044659614562988
86000,3.6717424392700195
88000,7.103578090667725
90000,4.507518768310547
92000,3.4788997173309326
94000,1.9946922063827515
96000,-9.43432331085205
98000,3.961304187774658
100000,-100.0
