step,adv_reward/adv_reward_scaled_max
2000,36.179473876953125
4000,99.81797790527344
6000,49.79609680175781
8000,97.77798461914062
10000,98.47039031982422
12000,32.01902389526367
14000,99.45125579833984
16000,99.81356811523438
18000,39.500614166259766
20000,98.28125
22000,99.38739013671875
24000,31.417327880859375
26000,99.28707885742188
28000,96.56184387207031
30000,49.320552825927734
32000,94.2925033569336
34000,99.85138702392578
36000,47.77413558959961
38000,98.23318481445312
40000,96.01181030273438
42000,36.26148223876953
44000,69.13455963134766
46000,99.33096313476562
48000,40.335113525390625
50000,99.72798156738281
52000,99.69157409667969
54000,33.144775390625
56000,59.52207946777344
58000,95.52411651611328
60000,45.264957427978516
62000,81.0091552734375
64000,81.28971099853516
66000,49.484092712402344
68000,99.13813018798828
70000,87.68126678466797
72000,39.33286666870117
74000,97.38374328613281
76000,52.85817337036133
78000,42.62959289550781
80000,98.93818664550781
82000,99.68070220947266
84000,48.76836395263672
86000,72.9260482788086
88000,83.38988494873047
90000,49.35692596435547
92000,99.51952362060547
94000,82.36751556396484
96000,38.389556884765625
98000,93.64592742919922
100000,99.6631851196289
