step,loss/policy_loss
2000,0.020483197205001125
4000,0.012378564967285583
6000,0.02215947426766012
8000,0.0012946579802518715
10000,-0.008047681556332597
12000,-0.0032804753438320693
14000,0.01823732164947476
16000,0.05313309279232155
18000,-0.0008865735043855537
20000,0.04307973171584758
22000,-0.004284972890479985
24000,0.00923612773683839
26000,0.011349163070218174
28000,-0.020116573576972233
30000,0.04088113199843411
32000,-0.006753452195972229
34000,0.24932299943779807
36000,-0.007099245269731073
38000,0.061835990974438315
40000,-0.01644985417720299
42000,0.01653704256025019
44000,-0.0006626094046707389
46000,0.011732349237009217
48000,-0.0021096853320649077
50000,-0.006384741449874458
52000,-0.008789880884657666
54000,-0.002210114081387023
56000,0.050908148149004684
58000,0.007806755248464312
60000,-0.020955334795582137
62000,-0.010419948067623986
64000,-0.0002628604247109117
66000,0.014427128606180641
68000,0.007485979964213305
70000,-0.02313997790484415
72000,0.02461885803152995
74000,-0.0006413013782342845
76000,-0.006978682557409399
78000,0.026898613362368227
80000,-0.0010331691752914903
82000,0.015752127770137063
84000,0.0036461612121712573
86000,-0.006301465182271185
88000,0.008409050397346097
90000,-0.0012870494330356635
92000,-0.001465762063008411
94000,0.0018375800229557186
96000,-0.01632983719569716
98000,0.05580048839861862
100000,0.003598250959033572
