step,stat/ep_return
2000,5.931370052874141
4000,5.672325696232174
6000,9.072834762061142
8000,12.694193944835813
10000,8.189578778720136
12000,15.359144619947372
14000,10.780467483176514
16000,13.566014476995178
18000,12.098233070482262
20000,15.078125841333385
22000,15.186213411400905
24000,15.06345642969959
26000,11.233075425201628
28000,20.434500260904876
30000,28.278130657660803
32000,22.91962041204146
34000,23.68424023936981
36000,18.420410525402918
38000,34.823642206824516
40000,23.084637754102836
42000,27.949120312143044
44000,18.97543472255606
46000,19.14063802211385
48000,18.09259493578702
50000,16.32149885095361
52000,10.219035481010845
54000,28.00282196549599
56000,11.338845550323523
58000,15.362347985597381
60000,31.375393487856787
62000,25.69064167814406
64000,17.340357672282106
66000,11.084538712724585
68000,26.705552755333905
70000,16.280648060059
72000,21.24871670926096
74000,18.717006882838444
76000,28.57522491849945
78000,31.917504396758876
80000,27.042838937785366
82000,27.262945231885748
84000,16.586401323795194
86000,24.456397572138222
88000,33.61330964403346
90000,25.441471364332166
92000,23.401552833582
94000,32.385268304028095
96000,41.685173629051334
98000,31.709859387699908
100000,39.63722955797178
