step,stat/constraint_violation
2000,1123
4000,2254
6000,3428
8000,4549
10000,5546
12000,6697
14000,7816
16000,8799
18000,9826
20000,10763
22000,11815
24000,12935
26000,14081
28000,15105
30000,16206
32000,17263
34000,18053
36000,19079
38000,19938
40000,20737
42000,21722
44000,22621
46000,23475
48000,24350
50000,25329
52000,26427
54000,27201
56000,28249
58000,29147
60000,30099
62000,31055
64000,32157
66000,33141
68000,34198
70000,35329
72000,36100
74000,37318
76000,38189
78000,39170
80000,40034
82000,40858
84000,42002
86000,42911
88000,43644
90000,44579
92000,45492
94000,46322
96000,47147
98000,48050
100000,48853
