step,stat/constraint_violation
2000,1100
4000,2131
6000,3201
8000,4180
10000,5227
12000,6277
14000,7266
16000,8158
18000,9206
20000,10205
22000,11132
24000,12176
26000,13164
28000,14049
30000,14835
32000,15612
34000,16517
36000,17695
38000,18648
40000,19400
42000,20307
44000,21587
46000,23087
48000,24747
50000,26266
52000,27804
54000,29455
56000,31035
58000,32614
60000,34348
62000,35899
64000,37492
66000,39192
68000,40732
70000,42327
72000,43979
74000,45525
76000,47096
78000,48787
80000,50377
82000,51979
84000,53728
86000,55251
88000,56836
90000,58510
92000,60112
94000,61721
96000,63400
98000,64998
100000,66561
