step,stat/ep_length
2000,13.0
4000,16.3
6000,30.2
8000,32.4
10000,26.8
12000,43.3
14000,35.1
16000,23.2
18000,37.0
20000,39.0
22000,41.7
24000,43.1
26000,41.1
28000,45.8
30000,65.9
32000,51.6
34000,46.9
36000,38.5
38000,39.7
40000,48.6
42000,50.3
44000,13.0
46000,14.4
48000,28.8
50000,27.7
52000,14.2
54000,27.6
56000,12.7
58000,14.8
60000,27.3
62000,27.1
64000,14.1
66000,26.3
68000,27.4
70000,14.3
72000,26.6
74000,27.0
76000,14.1
78000,27.3
80000,28.1
82000,13.5
84000,27.4
86000,13.6
88000,15.3
90000,26.5
92000,12.7
94000,14.6
96000,29.2
98000,13.3
100000,13.7
