step,stat/ep_constraint_violation
2000,10.3
4000,10.7
6000,11.9
8000,14.5
10000,19.1
12000,18.9
14000,16.9
16000,17.1
18000,16.6
20000,18.5
22000,16.6
24000,18.5
26000,19.9
28000,21.4
30000,20.4
32000,21.7
34000,24.8
36000,18.3
38000,18.4
40000,21.6
42000,25.3
44000,11.4
46000,12.0
48000,20.9
50000,20.4
52000,12.8
54000,21.6
56000,11.4
58000,12.4
60000,22.7
62000,22.3
64000,12.6
66000,21.7
68000,21.0
70000,12.4
72000,18.9
74000,22.1
76000,12.6
78000,21.4
80000,22.6
82000,11.6
84000,22.5
86000,11.6
88000,13.4
90000,19.7
92000,11.4
94000,13.0
96000,23.9
98000,11.9
100000,12.5
