step,stat/ep_constraint_violation
2000,9.0
4000,11.8
6000,16.8
8000,17.6
10000,18.8
12000,18.3
14000,17.4
16000,21.7
18000,22.7
20000,26.4
22000,19.7
24000,25.2
26000,29.6
28000,26.5
30000,24.3
32000,26.4
34000,30.8
36000,16.8
38000,25.1
40000,23.2
42000,32.9
44000,21.5
46000,25.3
48000,20.8
50000,26.7
52000,33.4
54000,36.0
56000,26.8
58000,23.5
60000,30.4
62000,33.0
64000,25.8
66000,24.1
68000,33.3
70000,33.4
72000,39.1
74000,24.7
76000,24.5
78000,49.3
80000,37.8
82000,29.8
84000,25.9
86000,28.1
88000,27.5
90000,36.0
92000,35.7
94000,36.5
96000,36.8
98000,32.1
100000,29.0
