step,stat/constraint_violation
2000,1210
4000,2392
6000,3664
8000,4841
10000,5949
12000,7062
14000,8082
16000,9031
18000,9960
20000,10878
22000,11931
24000,12865
26000,13642
28000,14212
30000,15139
32000,16064
34000,16878
36000,17988
38000,18758
40000,19723
42000,20464
44000,21603
46000,22518
48000,23500
50000,24157
52000,24943
54000,25548
56000,26323
58000,27215
60000,27925
62000,28474
64000,29151
66000,29760
68000,30238
70000,31029
72000,31769
74000,32751
76000,33383
78000,34083
80000,34671
82000,35297
84000,35728
86000,36085
88000,36546
90000,37118
92000,37596
94000,38073
96000,38746
98000,39265
100000,39755
