step,adv_reward/adv_reward_scaled_min
2000,-99.99967956542969
4000,99.99903869628906
6000,100.0
8000,99.99918365478516
10000,100.0
12000,99.99791717529297
14000,100.0
16000,99.99999237060547
18000,100.0
20000,-99.99967956542969
22000,-81.19354248046875
24000,-58.824459075927734
26000,100.0
28000,99.99999237060547
30000,34.81462097167969
32000,99.90247344970703
34000,-76.15941619873047
36000,96.21405029296875
38000,100.0
40000,96.69852447509766
42000,41.52782440185547
44000,-83.33049011230469
46000,99.99555969238281
48000,100.0
50000,-76.15941619873047
52000,-76.15941619873047
54000,-76.15941619873047
56000,100.0
58000,99.79644775390625
60000,-76.15941619873047
62000,-76.15941619873047
64000,99.99945068359375
66000,-76.15941619873047
68000,99.99703979492188
70000,100.0
72000,-76.15941619873047
74000,-78.78327178955078
76000,90.26411437988281
78000,100.0
80000,99.34983825683594
82000,99.99992370605469
84000,29.64197540283203
86000,99.98605346679688
88000,-84.06092071533203
90000,100.0
92000,100.0
94000,100.0
96000,99.99894714355469
98000,35.64433288574219
100000,95.6317367553711
