step,adv_reward/adv_reward_raw_max
2000,27.906803131103516
4000,150.3997344970703
6000,113.96888732910156
8000,189.31784057617188
10000,74.46038818359375
12000,72.93604278564453
14000,201.0792236328125
16000,112.05143737792969
18000,222.7478790283203
20000,16.870073318481445
22000,82.51924896240234
24000,120.0466537475586
26000,155.45614624023438
28000,-7.772772312164307
30000,-9.534653663635254
32000,73.36830139160156
34000,132.32720947265625
36000,-6.610706329345703
38000,134.99496459960938
40000,45.38793182373047
42000,132.7563018798828
44000,133.26876831054688
46000,228.3831329345703
48000,235.47183227539062
50000,181.40768432617188
52000,203.1122283935547
54000,210.36984252929688
56000,67.703369140625
58000,257.3653259277344
60000,242.0419158935547
62000,226.28863525390625
64000,257.9925231933594
66000,185.66049194335938
68000,451.0304260253906
70000,358.6240234375
72000,291.93450927734375
74000,137.4116973876953
76000,219.9771270751953
78000,285.5737609863281
80000,211.68910217285156
82000,163.7708740234375
84000,291.4643859863281
86000,69.87909698486328
88000,225.4222869873047
90000,151.3108367919922
92000,196.19534301757812
94000,226.63623046875
96000,291.4324951171875
98000,212.21185302734375
100000,269.3599548339844
