step,loss/value_loss
10000,381013.70928596315
20000,224182.79092414427
30000,157997.9238379697
40000,193735.08081086222
50000,118208.11132967903
60000,61221.858018937324
70000,110346.1655487082
80000,118115.5497485022
90000,53105.07816229254
100000,57888.65786047462
110000,36628.34788847231
120000,37434.75428615067
130000,13711.901227335009
140000,9360.10631506854
150000,10256.424007784657
160000,15713.754673818208
170000,11164.215643466629
180000,7716.49703181871
190000,10065.631226953725
200000,18441.30124480643
210000,3750.16020131431
220000,10901.485494487486
230000,5017.453343060441
240000,7953.8449942951875
250000,11152.990895782055
260000,7546.129178177883
270000,6834.041144489143
280000,10871.185098056447
290000,26475.84477193604
300000,4458.873025716177
310000,8128.357459311233
320000,10336.499314105886
330000,4118.446409830135
340000,7384.813348199564
350000,5371.826748953395
360000,16230.03468870783
370000,3986.80934160756
380000,2236.813219444268
390000,4304.848854360627
400000,3245.6003899794473
410000,13436.189897328262
420000,12427.103963367132
430000,15782.187210936176
440000,12553.793339776365
450000,3047.9305307036784
460000,6998.6338804767565
470000,7129.736512633013
480000,4418.882602581416
490000,12823.978933919101
500000,3232.0918705905933
