step,loss/policy_loss
10000,0.15898932289408355
20000,0.23170187923277355
30000,0.30348542056776745
40000,0.0703408923083908
50000,0.09887930863383379
60000,0.048982116307173196
70000,0.1929550343090109
80000,0.05303145446739323
90000,0.15359359703364728
100000,0.039870848961697465
110000,0.216076984360923
120000,0.07604333071058167
130000,0.43696415420307677
140000,0.3968399964821288
150000,0.2213676780643632
160000,0.18997738688105556
170000,0.09010058629272664
180000,0.35124437226655747
190000,0.06774989189685579
200000,0.0470986904372587
210000,0.16076162316665302
220000,0.0642223673358391
230000,0.12398036663209085
240000,0.05372035460507939
250000,0.1455322758566789
260000,0.08364973085457032
270000,0.13192615694873816
280000,0.20367120145149048
290000,0.11253694340163586
300000,0.32860703601418806
310000,0.1221165718846426
320000,0.35225644186907257
330000,0.12825833134374592
340000,0.13492097351352547
350000,0.12831600840852056
360000,0.22314369334963305
370000,0.060840346449202144
380000,0.09513901455759927
390000,0.2075694298378509
400000,0.10128130072278937
410000,0.08828552315821714
420000,0.05809427354715554
430000,0.12866571442531605
440000,0.07931072746890935
450000,0.06876463971339972
460000,0.10635060476687268
470000,0.11165830833976069
480000,0.630947143032023
490000,0.08644945626964075
500000,0.14019543966765724
