step,loss/approx_kl
10000,21.5488622546196
20000,24.797899997234346
30000,6.563174875080586
40000,17.202239632606506
50000,10.028995448350907
60000,11.214141055941582
70000,13.455960273742676
80000,10.552873170375824
90000,15.957803511619568
100000,11.105318462848663
110000,9.07910788655281
120000,12.73458422422409
130000,31.457979798316956
140000,26.59413170814514
150000,10.356875067949295
160000,25.116724717617036
170000,19.08520350456238
180000,18.174014186859132
190000,17.591751360893248
200000,25.00969648361206
210000,25.31472554206848
220000,26.90006241798401
230000,30.694122409820558
240000,22.920323431491852
250000,21.696994590759278
260000,16.112183713912962
270000,21.61921731233597
280000,15.550935238599777
290000,15.505211758613587
300000,22.709343814849852
310000,15.253080981969834
320000,19.404365873336793
330000,25.827998054027557
340000,20.165099257230757
350000,29.681795382499693
360000,18.464403402805328
370000,21.93887115716934
380000,33.847069883346556
390000,32.519126534461975
400000,29.46995973587036
410000,11.279540053009987
420000,23.270788931846617
430000,17.07033950686455
440000,20.453219521045686
450000,25.827943801879883
460000,21.79728568792343
470000,28.969246864318848
480000,24.765985000133515
490000,28.434562230110167
500000,19.917980122566224
