step,stat/ep_constraint_violation
2000,9.3
4000,10.1
6000,12.9
8000,17.5
10000,14.8
12000,17.9
14000,20.2
16000,21.6
18000,21.4
20000,20.9
22000,19.6
24000,21.3
26000,24.6
28000,18.8
30000,23.8
32000,23.7
34000,34.5
36000,25.4
38000,22.5
40000,23.8
42000,22.6
44000,29.4
46000,31.2
48000,25.5
50000,32.0
52000,32.0
54000,27.6
56000,31.1
58000,29.8
60000,31.9
62000,30.7
64000,30.0
66000,29.1
68000,30.3
70000,33.2
72000,23.4
74000,30.4
76000,31.1
78000,20.6
80000,19.7
82000,31.7
84000,31.6
86000,22.0
88000,32.1
90000,32.1
92000,19.4
94000,34.4
96000,32.0
98000,18.8
100000,32.2
