step,stat/ep_return
2000,11.12278715256934
4000,5.160129476489883
6000,9.25028816264626
8000,10.621460749492684
10000,9.459414620553218
12000,14.342591928559864
14000,15.586660362748344
16000,19.158552561640242
18000,20.02357917791666
20000,18.998340372935647
22000,17.50460045978101
24000,10.457725035418997
26000,19.842138895489402
28000,18.638462556280555
30000,22.046453732684952
32000,18.521654829537844
34000,22.379946919489115
36000,15.729071055093588
38000,16.793117883618997
40000,15.209565320255487
42000,15.92771020671365
44000,11.369177004699257
46000,9.195108773035662
48000,16.07738658602461
50000,34.13172724913038
52000,28.012375004065547
54000,18.068771003025
56000,14.50132746127532
58000,17.598141676413555
60000,29.94747148047702
62000,18.23042611220466
64000,21.17563347080835
66000,14.971090289620125
68000,25.15887482674143
70000,30.032560450970152
72000,36.084409844742524
74000,18.263829592027818
76000,34.560048270255
78000,42.223935630077996
80000,35.12199236695748
82000,38.21149448256767
84000,34.4406500957959
86000,23.75790087997376
88000,22.246918230646326
90000,38.26927549131432
92000,14.407143342591874
94000,15.371501643074698
96000,13.107783127368624
98000,15.253958440709189
100000,15.946106498602873
