step,loss/approx_kl
10000,21.5488622546196
20000,24.797899997234346
30000,6.563174875080586
40000,17.202239632606506
50000,10.028995448350907
60000,11.214141055941582
70000,13.455960273742676
80000,10.552873170375824
90000,15.957803511619568
100000,11.105318462848663
110000,9.07910788655281
120000,12.73458422422409
130000,26.853594875335695
140000,28.56881777048111
150000,25.53063039779663
160000,31.018124222755432
170000,23.08841120004654
180000,27.954079604148866
190000,24.781625783443452
200000,21.688984167575835
210000,32.97020769119263
220000,21.312539649009704
230000,12.318142640590668
240000,27.19190858602524
250000,11.562689423561096
260000,25.216038167476654
270000,33.42665724754333
280000,17.504343473911284
290000,21.624129521846772
300000,26.42190463542938
310000,21.14992688894272
320000,27.023979794979095
330000,24.817839527130126
340000,42.15163762569428
350000,27.206612145900728
360000,17.83916096687317
370000,23.5605251789093
380000,28.824761831760405
390000,16.636564737558366
400000,25.085676753520964
410000,27.620074486732484
420000,22.847451412677763
430000,25.901466977596282
440000,25.54052504301071
450000,37.46681711673737
460000,31.222182202339173
470000,24.691610300540923
480000,23.693945121765136
490000,16.29471362233162
500000,22.511920428276063
