step,stat/constraint_violation
2000,1118
4000,2179
6000,3306
8000,4357
10000,5405
12000,6387
14000,7298
16000,8289
18000,9264
20000,10225
22000,11171
24000,12124
26000,12965
28000,13844
30000,14830
32000,15897
34000,17049
36000,17962
38000,18819
40000,19624
42000,20604
44000,21790
46000,23037
48000,24033
50000,24771
52000,25702
54000,26513
56000,27230
58000,28061
60000,29092
62000,29986
64000,30841
66000,31672
68000,32358
70000,33010
72000,33818
74000,34599
76000,35435
78000,36185
80000,36768
82000,37265
84000,37859
86000,38454
88000,39548
90000,40340
92000,41116
94000,41920
96000,42653
98000,43249
100000,43738
