step,stat/ep_length
2000,13.0
4000,16.0
6000,27.8
8000,32.2
10000,24.7
12000,37.3
14000,37.5
16000,23.2
18000,40.8
20000,35.9
22000,23.5
24000,42.7
26000,45.9
28000,51.8
30000,41.5
32000,41.0
34000,21.6
36000,49.3
38000,58.6
40000,48.7
42000,49.6
44000,30.8
46000,24.5
48000,46.5
50000,52.7
52000,46.4
54000,50.2
56000,45.4
58000,49.4
60000,36.9
62000,40.2
64000,44.8
66000,42.1
68000,67.6
70000,52.2
72000,54.6
74000,52.5
76000,53.2
78000,87.2
80000,90.8
82000,84.8
84000,120.2
86000,94.2
88000,23.8
90000,92.5
92000,70.1
94000,104.9
96000,107.6
98000,133.0
100000,61.2
