step,stat/ep_constraint_violation
2000,10.0
4000,12.5
6000,20.9
8000,20.7
10000,18.6
12000,22.8
14000,20.4
16000,24.9
18000,25.7
20000,26.1
22000,26.9
24000,33.2
26000,35.4
28000,23.5
30000,20.7
32000,22.2
34000,40.8
36000,18.0
38000,21.0
40000,28.1
42000,22.3
44000,18.6
46000,24.7
48000,32.5
50000,41.5
52000,37.7
54000,42.1
56000,43.5
58000,37.1
60000,43.9
62000,29.4
64000,26.8
66000,35.3
68000,41.1
70000,38.3
72000,32.1
74000,29.3
76000,40.4
78000,40.4
80000,35.8
82000,32.5
84000,48.7
86000,32.3
88000,44.4
90000,39.4
92000,32.5
94000,27.3
96000,28.6
98000,22.5
100000,20.3
