step,stat/constraint_violation
2000,1245
4000,2460
6000,3736
8000,4864
10000,5908
12000,7003
14000,7939
16000,8861
18000,9787
20000,10565
22000,11326
24000,12388
26000,13115
28000,14161
30000,15208
32000,15981
34000,16837
36000,18137
38000,19014
40000,19920
42000,20698
44000,21528
46000,22585
48000,23463
50000,24041
52000,24735
54000,25400
56000,26118
58000,26645
60000,27353
62000,27845
64000,28497
66000,29080
68000,29586
70000,30253
72000,30805
74000,31277
76000,31863
78000,32684
80000,33309
82000,33843
84000,34581
86000,35140
88000,35662
90000,36267
92000,36702
94000,37407
96000,38275
98000,38908
100000,39464
