step,stat/ep_reward
2000,0.46847909071416255
4000,0.30037378593579345
6000,0.3734610099460395
8000,0.3291318498398567
10000,0.24140498910269476
12000,0.3637178720171546
14000,0.328985397054485
16000,0.34165949761367587
18000,0.2983581114779122
20000,0.2924122108345663
22000,0.34680367801132156
24000,0.2606567715607457
26000,0.23518574645766938
28000,0.22858468054947273
30000,0.23803561169907392
32000,0.22316044464405294
34000,0.3035047183469238
36000,0.29809119392276584
38000,0.3467171428267889
40000,0.21390258345983107
42000,0.2881979072737687
44000,0.28443538498993337
46000,0.20227667782503866
48000,0.2390132799314127
50000,0.2757006317142662
52000,0.286601687058585
54000,0.3209108794647825
56000,0.2944285327719073
58000,0.33220891432482647
60000,0.38574804654404043
62000,0.37469102415418337
64000,0.29862300231510724
66000,0.3848417514499275
68000,0.3216303981050878
70000,0.40639068140514595
72000,0.3720195452304046
74000,0.2950539102883657
76000,0.3032993904565621
78000,0.21071914788990287
80000,0.29336240942708963
82000,0.2889013663424689
84000,0.24873178189543346
86000,0.2328364986859779
88000,0.26607389620194266
90000,0.2600938557267334
92000,0.30460757105720393
94000,0.2594790927952704
96000,0.26374902875081474
98000,0.34230422986134273
100000,0.41428204242242794
