step,adv_reward/adv_reward_raw_min
2000,34.84580993652344
4000,196.43873596191406
6000,170.85960388183594
8000,329.05328369140625
10000,80.20812225341797
12000,-12.263456344604492
14000,-100.0
16000,-11.01681137084961
18000,234.98953247070312
20000,-21.090593338012695
22000,105.04552459716797
24000,239.59698486328125
26000,171.5445098876953
28000,58.279296875
30000,-21.867528915405273
32000,174.06802368164062
34000,153.46473693847656
36000,-21.998966217041016
38000,309.8747253417969
40000,-21.288639068603516
42000,241.84327697753906
44000,82.07866668701172
46000,-11.758960723876953
48000,111.35305786132812
50000,277.0549621582031
52000,147.33822631835938
54000,184.7403106689453
56000,140.80157470703125
58000,-22.752050399780273
60000,14.493154525756836
62000,-11.78927230834961
64000,17.92073631286621
66000,-11.750680923461914
68000,-22.310081481933594
70000,191.55923461914062
72000,497.40716552734375
74000,-23.079999923706055
76000,-21.864763259887695
78000,10.188948631286621
80000,295.6754150390625
82000,460.0245361328125
84000,414.6302795410156
86000,454.5758361816406
88000,87.42666625976562
90000,-12.224283218383789
92000,-24.14891242980957
94000,126.4678955078125
96000,125.27265167236328
98000,-0.3493683636188507
100000,-22.246301651000977
