step,stat/ep_return
2000,6.013730316048412
4000,5.631595963507698
6000,9.086691253831454
8000,10.888745189837849
10000,6.13572914566857
12000,11.81864286319971
14000,13.621579118504448
16000,12.921622636132081
18000,13.429369289563923
20000,13.49233700123423
22000,11.702307079355725
24000,11.082932298297031
26000,10.214295521896943
28000,13.997599931891553
30000,13.34472109232855
32000,20.50984192011771
34000,26.424558536959285
36000,14.402321276713849
38000,14.659166271267575
40000,24.392089121718687
42000,26.614389276764733
44000,16.2299807429253
46000,17.90107194393061
48000,12.060077665722094
50000,16.51497576863242
52000,10.4345052904817
54000,23.019336882766584
56000,14.454931796466752
58000,13.721729214768743
60000,19.338094955177752
62000,19.48202730617453
64000,18.72393268526405
66000,24.88751624943996
68000,23.065883906095515
70000,19.346937344509747
72000,34.047602046909745
74000,27.217365065538065
76000,28.251529990321835
78000,31.650453103578275
80000,27.597749144424334
82000,16.40011261898783
84000,25.72634984515413
86000,25.34740295369398
88000,25.57627518518592
90000,21.873580160737216
92000,20.820551644228107
94000,38.471616730432
96000,49.79636841917756
98000,38.5950889259919
100000,37.89394317963409
