step,stat/constraint_violation
2000,1232
4000,2455
6000,3619
8000,4673
10000,5834
12000,7134
14000,8182
16000,9065
18000,9992
20000,10847
22000,11693
24000,12805
26000,13574
28000,14311
30000,15299
32000,16158
34000,16699
36000,17783
38000,18715
40000,19554
42000,20217
44000,20984
46000,21788
48000,22827
50000,23585
52000,24487
54000,25286
56000,26089
58000,27070
60000,27894
62000,28658
64000,29282
66000,29873
68000,30325
70000,30893
72000,31273
74000,31806
76000,32409
78000,32963
80000,33545
82000,34244
84000,34965
86000,35735
88000,36334
90000,37170
92000,37672
94000,38181
96000,38583
98000,38848
100000,39314
