step,adv_reward/adv_reward_raw_mean
2000,-27.30668830871582
4000,-5.762498378753662
6000,212.07144165039062
8000,85.21247100830078
10000,189.63555908203125
12000,413.3375549316406
14000,363.13751220703125
16000,31.301624298095703
18000,517.78955078125
20000,-9.837146759033203
22000,-12.984739303588867
24000,282.21234130859375
26000,147.03887939453125
28000,24.412109375
30000,173.4915771484375
32000,187.3671417236328
34000,-9.37679672241211
36000,-13.23652458190918
38000,3.7375564575195312
40000,103.90673828125
42000,-20.83533477783203
44000,206.37655639648438
46000,-8.843521118164062
48000,-10.756604194641113
50000,-12.996313095092773
52000,-11.369511604309082
54000,-13.030582427978516
56000,-10.51307487487793
58000,-6.917484283447266
60000,-9.720649719238281
62000,-9.057580947875977
64000,124.28546905517578
66000,-10.113581657409668
68000,-14.534497261047363
70000,125.5251693725586
72000,276.6002197265625
74000,3.2920784950256348
76000,79.3133544921875
78000,130.07882690429688
80000,-8.491475105285645
82000,439.70391845703125
84000,-11.154491424560547
86000,775.6275634765625
88000,445.8119812011719
90000,-10.099786758422852
92000,-6.870737552642822
94000,-9.456902503967285
96000,167.01654052734375
98000,-13.014728546142578
100000,-10.463753700256348
