step,adv_reward/adv_reward_scaled_max
2000,25.461095809936523
4000,22.00398826599121
6000,213.19430541992188
8000,93.41848754882812
10000,194.06834411621094
12000,415.3497619628906
14000,396.6049499511719
16000,47.355804443359375
18000,521.2698364257812
20000,33.5349235534668
22000,17.17788314819336
24000,284.5094909667969
26000,148.85511779785156
28000,50.01651382446289
30000,179.08644104003906
32000,192.77928161621094
34000,17.848487854003906
36000,16.512041091918945
38000,40.39189910888672
40000,126.64982604980469
42000,15.247662544250488
44000,208.1283721923828
46000,18.135231018066406
48000,16.86778450012207
50000,17.501745223999023
52000,18.585195541381836
54000,17.156957626342773
56000,17.262638092041016
58000,18.902484893798828
60000,17.38097381591797
62000,20.47100830078125
64000,140.6072540283203
66000,17.200180053710938
68000,15.717164039611816
70000,130.8824920654297
72000,281.3096618652344
74000,35.68798828125
76000,97.59031677246094
78000,131.662109375
80000,17.926773071289062
82000,441.13677978515625
84000,16.26970672607422
86000,780.7626953125
88000,447.0427551269531
90000,16.800670623779297
92000,22.854158401489258
94000,17.470613479614258
96000,168.9175262451172
98000,16.620033264160156
100000,16.99247169494629
