step,adv_reward/adv_reward_scaled_mean
2000,14.983200073242188
4000,18.146574020385742
6000,212.0969696044922
8000,86.93685150146484
10000,189.68971252441406
12000,413.3375549316406
14000,363.1377258300781
16000,40.606197357177734
18000,517.78955078125
20000,24.69695281982422
22000,15.248303413391113
24000,282.2148132324219
26000,147.2615966796875
28000,35.833457946777344
30000,173.58590698242188
32000,187.4264678955078
34000,16.48995590209961
36000,15.002967834472656
38000,23.7652587890625
40000,104.90798950195312
42000,12.242384910583496
44000,206.40744018554688
46000,16.71880340576172
48000,15.905696868896484
50000,15.175941467285156
52000,15.884430885314941
54000,15.102089881896973
56000,16.015670776367188
58000,17.552486419677734
60000,16.335512161254883
62000,16.845911026000977
64000,124.77796173095703
66000,16.17414665222168
68000,14.518352508544922
70000,125.9892349243164
72000,276.6032409667969
74000,23.2258243560791
76000,81.46695709228516
78000,130.4691619873047
80000,16.86923599243164
82000,439.70391845703125
84000,15.738128662109375
86000,775.6275634765625
88000,445.81201171875
90000,16.171356201171875
92000,17.732057571411133
94000,16.45104217529297
96000,167.1310577392578
98000,15.078303337097168
100000,16.032474517822266
