step,loss/entropy_loss
2000,-0.9224187930425009
4000,-0.870332216223081
6000,-0.8477935791015625
8000,-0.8087134947379431
10000,-0.7976774921019871
12000,-0.8119519005219141
14000,-0.8082897037267684
16000,-0.768356359998385
18000,-0.7778531908988953
20000,-0.7663851608832677
22000,-0.7631626754999161
24000,-0.7683920254309973
26000,-0.7593417833248775
28000,-0.7475057125091553
30000,-0.7465615272521973
32000,-0.7463316917419434
34000,-0.7462644497553508
36000,-0.7449260354042053
38000,-0.7371966540813445
40000,-0.7414844950040181
42000,-0.735564120610555
44000,-0.733008861541748
46000,-0.733008861541748
48000,-0.7321255803108215
50000,-0.7321255803108215
52000,-0.7314635515213013
54000,-0.7311937212944031
56000,-0.7311937212944031
58000,-0.7311937212944031
60000,-0.7311937212944031
62000,-0.7312002182006836
64000,-0.7311830520629883
66000,-0.7311225533485413
68000,-0.7311341762542725
70000,-0.7311409950256348
72000,-0.7310502529144287
74000,-0.7308005690574646
76000,-0.7308005690574646
78000,-0.7307194471359253
80000,-0.7307194471359253
82000,-0.7307194471359253
84000,-0.7307194471359253
86000,-0.7306035161018372
88000,-0.7306035161018372
90000,-0.7306035161018372
92000,-0.7305338978767395
94000,-0.7304942607879639
96000,-0.7305447985728581
98000,-0.7270453631877899
100000,-0.7346564988295238
