step,adv_reward/adv_reward_raw_max
2000,5.68424129486084
4000,52.50773239135742
6000,8.198866844177246
8000,33.66546630859375
10000,36.492191314697266
12000,4.977886199951172
14000,44.21766662597656
16000,52.327945709228516
18000,6.265768051147461
20000,35.61066818237305
22000,43.38956069946289
24000,4.877535343170166
26000,42.24848175048828
28000,30.345312118530273
30000,8.1043119430542
32000,26.45688247680664
34000,54.030067443847656
36000,7.800803184509277
38000,35.4019889831543
40000,29.211284637451172
42000,5.698399543762207
44000,12.75793170928955
46000,42.72661209106445
48000,6.414671897888184
50000,49.49128723144531
52000,48.547874450683594
54000,5.166807174682617
56000,10.28569221496582
58000,28.32734489440918
60000,7.320414066314697
62000,16.9094295501709
64000,17.032669067382812
66000,8.136763572692871
68000,40.81984329223633
70000,20.427181243896484
72000,6.235978126525879
74000,32.4255485534668
76000,8.822624206542969
78000,6.830418109893799
80000,39.24760055541992
82000,48.28756332397461
84000,7.995249271392822
86000,13.907190322875977
88000,18.01201820373535
90000,8.111523628234863
92000,45.21670150756836
94000,17.52210807800293
96000,6.069308757781982
98000,25.627010345458984
100000,47.88642120361328
