cert_violation_rate,cert_num_violations,uncert_violation_rate,uncert_num_violations,violation_rate_reduction,uncert_time_to_first_violation,cert_time_to_first_violation,cert_integrated_slack,uncert_integrated_slack,severity_reduction,num_corrections,total_correction_magnitude,max_correction,mean_correction,correction_rate,cert_mean_action_delta,uncert_mean_action_delta,cert_control_effort,uncert_control_effort,cert_mean_action_magnitude,uncert_mean_action_magnitude,cert_theta_std,uncert_theta_std,cert_max_theta,uncert_max_theta,experiment,seed,horizon,cost_horizon,max_w,terminal_set
0.543046357615894,82,0.6666666666666666,6,0.12362030905077259,3,2,1.8301572244047228,4.275410845313267,2.4452536209085443,138,1275.0448454564496,16.380411072757504,8.500298969709664,0.9139072847682119,0.0976149292320309,0.06785708665847778,27.961938796257925,5.3512654304504395,0.18641292530838616,0.6689081788063049,0.14978085307412461,0.6065591236859261,0.18499020892531912,1.7929188643698724,h20_ch10_w0.001_tsfalse,42,20,10,0.001,False
0.4768211920529801,72,0.5384615384615384,7,0.06164034640855831,6,3,1.5376116828421984,5.1943805025821295,3.656768819739931,137,982.6612749109486,15.044692179324402,6.551075166072991,0.9072847682119205,0.10282449907154295,0.0563204288482666,27.98426153255724,5.5121002197265625,0.1865617435503816,0.4593416750431061,0.1501427149200148,0.6267437378472578,0.1849902084679778,1.9718981123132397,h20_ch10_w0.002_tsfalse,42,20,10,0.002,False
0.06622516556291391,10,0.6666666666666666,6,0.6004415011037527,3,5,0.22884347162616372,4.092274490823689,3.863431019197525,149,1430.281914231216,16.470544563429815,9.53521276154144,0.9867549668874173,0.04816036289362288,0.12148489058017731,12.469677591535115,2.638780117034912,0.08313118394356743,0.329847514629364,0.06534726796804143,0.522447821135098,0.18498823208536486,1.5879760141227872,h20_ch10_w0.005_tsfalse,42,20,10,0.005,False
0.543046357615894,82,0.6666666666666666,6,0.12362030905077259,3,2,1.8301572244047228,4.275410845313267,2.4452536209085443,138,1275.0448454564496,16.380411072757504,8.500298969709664,0.9139072847682119,0.0976149292320309,0.06785708665847778,27.961938796257925,5.3512654304504395,0.18641292530838616,0.6689081788063049,0.14978085307412461,0.6065591236859261,0.18499020892531912,1.7929188643698724,h20_ch6_w0.001_tsfalse,42,20,6,0.001,False
0.4768211920529801,72,0.5384615384615384,7,0.06164034640855831,6,3,1.5376116828421984,5.1943805025821295,3.656768819739931,137,982.6612749109486,15.044692179324402,6.551075166072991,0.9072847682119205,0.10282449907154295,0.0563204288482666,27.98426153255724,5.5121002197265625,0.1865617435503816,0.4593416750431061,0.1501427149200148,0.6267437378472578,0.1849902084679778,1.9718981123132397,h20_ch6_w0.002_tsfalse,42,20,6,0.002,False
0.06622516556291391,10,0.6666666666666666,6,0.6004415011037527,3,5,0.22884347162616372,4.092274490823689,3.863431019197525,149,1430.281914231216,16.470544563429815,9.53521276154144,0.9867549668874173,0.04816036289362288,0.12148489058017731,12.469677591535115,2.638780117034912,0.08313118394356743,0.329847514629364,0.06534726796804143,0.522447821135098,0.18498823208536486,1.5879760141227872,h20_ch6_w0.005_tsfalse,42,20,6,0.005,False
0.2781456953642384,42,0.46153846153846156,6,0.18339276617422318,7,3,0.583133408861539,4.154169380677524,3.5710359718159848,89,558.7171619306789,17.54832077701084,3.7247810795378595,0.5894039735099338,0.21926829035771622,0.06270352005958557,47.56116239694113,5.1551289558410645,0.3170744159796075,0.4295940697193146,0.14370881371574254,0.5416562347671953,0.18373218090628776,1.7133720041548237,h30_ch10_w0.001_tsfalse,42,30,10,0.001,False
0.5298013245033113,80,0.6363636363636364,7,0.10656231186032505,4,4,1.7440464615096247,5.113058983457432,3.369012521947807,136,904.5239658877302,15.514551630383991,6.030159772584868,0.9006622516556292,0.06473192331446996,0.062087006866931915,23.94735458546335,5.25084114074707,0.15964903056975568,0.5250841379165649,0.1431968167416269,0.620955697437766,0.18499020892911072,1.9338061210593587,h30_ch10_w0.002_tsfalse,42,30,10,0.002,False
0.4900662251655629,74,0.6363636363636364,7,0.14629741119807343,4,2,1.6513746042448576,5.567245819057401,3.915871214812544,147,1018.9414339629678,14.75987586750794,6.792942893086452,0.9735099337748344,0.10746826266282337,0.07485479861497879,25.929555535887012,2.425536632537842,0.17286370357258007,0.24255366623401642,0.14537425296658266,0.6183676685550359,0.18499020892947526,1.898096595848476,h30_ch10_w0.005_tsfalse,42,30,10,0.005,False
0.2781456953642384,42,0.46153846153846156,6,0.18339276617422318,7,3,0.583133408861539,4.154169380677524,3.5710359718159848,89,558.7171619306789,17.54832077701084,3.7247810795378595,0.5894039735099338,0.21926829035771622,0.06270352005958557,47.56116239694113,5.1551289558410645,0.3170744159796075,0.4295940697193146,0.14370881371574254,0.5416562347671953,0.18373218090628776,1.7133720041548237,h30_ch6_w0.001_tsfalse,42,30,6,0.001,False
0.5298013245033113,80,0.6363636363636364,7,0.10656231186032505,4,4,1.7440464615096247,5.113058983457432,3.369012521947807,136,904.5239658877302,15.514551630383991,6.030159772584868,0.9006622516556292,0.06473192331446996,0.062087006866931915,23.94735458546335,5.25084114074707,0.15964903056975568,0.5250841379165649,0.1431968167416269,0.620955697437766,0.18499020892911072,1.9338061210593587,h30_ch6_w0.002_tsfalse,42,30,6,0.002,False
0.4900662251655629,74,0.6363636363636364,7,0.14629741119807343,4,2,1.6513746042448576,5.567245819057401,3.915871214812544,147,1018.9414339629678,14.75987586750794,6.792942893086452,0.9735099337748344,0.10746826266282337,0.07485479861497879,25.929555535887012,2.425536632537842,0.17286370357258007,0.24255366623401642,0.14537425296658266,0.6183676685550359,0.18499020892947526,1.898096595848476,h30_ch6_w0.005_tsfalse,42,30,6,0.005,False
