step,adv_reward/adv_reward_scaled_mean
2000,17.00080108642578
4000,28.85492706298828
6000,13.554110527038574
8000,18.701251983642578
10000,15.909393310546875
12000,11.526455879211426
14000,32.20490646362305
16000,19.529146194458008
18000,9.77163314819336
20000,17.25440216064453
22000,11.165983200073242
24000,11.275450706481934
26000,14.15432357788086
28000,16.692537307739258
30000,10.480359077453613
32000,11.830953598022461
34000,21.631481170654297
36000,11.529370307922363
38000,21.77602767944336
40000,20.607330322265625
42000,10.667915344238281
44000,26.838298797607422
46000,24.932819366455078
48000,12.76162052154541
50000,14.32060718536377
52000,22.58649253845215
54000,10.3981351852417
56000,13.8583984375
58000,12.573930740356445
60000,12.668373107910156
62000,11.894872665405273
64000,8.389070510864258
66000,11.690598487854004
68000,13.73298454284668
70000,11.988873481750488
72000,12.200989723205566
74000,13.448619842529297
76000,13.963958740234375
78000,12.342949867248535
80000,14.314352035522461
82000,13.462757110595703
84000,13.208342552185059
86000,12.100804328918457
88000,14.402087211608887
90000,11.220541000366211
92000,12.84250259399414
94000,9.970954895019531
96000,13.84981918334961
98000,12.667601585388184
100000,13.112876892089844
