step,adv_reward/adv_reward_raw_mean
2000,10.61740493774414
4000,24.751197814941406
6000,5.729535102844238
8000,11.724921226501465
10000,8.982039451599121
12000,1.5588620901107788
14000,28.041786193847656
16000,13.107329368591309
18000,-1.9542518854141235
20000,9.740890502929688
22000,-21.015365600585938
24000,1.2494137287139893
26000,5.084822654724121
28000,7.49814510345459
30000,-0.5240097045898438
32000,0.8782631158828735
34000,14.519556045532227
36000,1.756269931793213
38000,14.948104858398438
40000,13.221015930175781
42000,0.20699918270111084
44000,22.099075317382812
46000,19.673980712890625
48000,4.372796058654785
50000,6.885812759399414
52000,18.264049530029297
54000,-0.7399919033050537
56000,6.2578511238098145
58000,4.0389580726623535
60000,4.19794225692749
62000,2.330993890762329
64000,-24.228649139404297
66000,1.8588428497314453
68000,6.020134925842285
70000,2.405546188354492
72000,3.399862289428711
74000,5.57504940032959
76000,6.291913986206055
78000,3.6565260887145996
80000,6.917989730834961
82000,5.5945587158203125
84000,5.154074668884277
86000,2.450836658477783
88000,7.122164726257324
90000,1.2468162775039673
92000,3.7204432487487793
94000,-1.6788275241851807
96000,6.233741283416748
98000,4.231423854827881
100000,4.995194435119629
