step,stat/ep_return
2000,4.578392974472744
4000,6.450156788108941
6000,8.08715496033842
8000,12.978609518451412
10000,14.023769392453406
12000,15.532477930291794
14000,12.226846756373464
16000,17.923380157762733
18000,12.549614905777721
20000,15.314104104328212
22000,18.46919247829068
24000,10.977503964804239
26000,15.44155835804554
28000,21.760608328590543
30000,21.863162392664915
32000,15.4257168788594
34000,19.58475789431083
36000,15.53945502829608
38000,14.759033186290873
40000,19.76566968055868
42000,21.629154495386896
44000,10.25119720714561
46000,5.331617213903845
48000,13.637373668586918
50000,22.297844969681
52000,40.471120231579036
54000,39.620689483486665
56000,34.92614612553001
58000,19.592232722551515
60000,31.91441863780674
62000,45.46132331120239
64000,40.39789756304618
66000,20.558312989744486
68000,50.4238125430695
70000,31.123119597074258
72000,25.03690097040346
74000,7.601932955413149
76000,13.068042270258427
78000,23.855736433857707
80000,41.9526854100043
82000,48.3338931101594
84000,44.98817421179349
86000,37.74042209724697
88000,35.098960334405206
90000,31.08087807825001
92000,30.587963554199213
94000,39.70490553878031
96000,47.675408604856045
98000,18.062226419418348
100000,30.22954774643203
