step,stat/ep_reward
2000,0.3946304869535669
4000,0.37203461051233344
6000,0.4204295852285619
8000,0.37807162165519187
10000,0.35997424215665136
12000,0.36272762516940055
14000,0.32458932970608917
16000,0.29627403783996814
18000,0.3131947408161243
20000,0.2883807662613536
22000,0.32409663939354194
24000,0.2002741430711697
26000,0.2565786579386245
28000,0.4083739312378708
30000,0.3388577050041458
32000,0.25892201073222904
34000,0.3502759211785963
36000,0.30035293654074197
38000,0.340603992630145
40000,0.38036776841127234
42000,0.2798888128169585
44000,0.2815137506100535
46000,0.24742221495107858
48000,0.2397221315515441
50000,0.28667833052008934
52000,0.36846865273788554
54000,0.32269484843957275
56000,0.30437493524177317
58000,0.3113081350165273
60000,0.3290722503038986
62000,0.4373266851181573
64000,0.41142797912546564
66000,0.36162009831463104
68000,0.4517401681938448
70000,0.4296952734352623
72000,0.2975871891982417
74000,0.2039001581580115
76000,0.2200426618203279
78000,0.25991515735969917
80000,0.3413322429481383
82000,0.40907783349952265
84000,0.357499836610214
86000,0.3539581589030546
88000,0.28749026254294135
90000,0.2979896546782027
92000,0.3507393815110868
94000,0.3277195665554832
96000,0.33075821724919113
98000,0.4082531277140081
100000,0.38021531059869906
