step,stat/step_time
2000,0.6540954113006592
4000,0.6229686737060547
6000,0.9496238231658936
8000,0.6183578968048096
10000,0.6227462291717529
12000,0.6084058284759521
14000,0.6289222240447998
16000,0.5679430961608887
18000,0.652735710144043
20000,0.5851554870605469
22000,0.5046272277832031
24000,0.6335067749023438
26000,0.5607597827911377
28000,0.5621538162231445
30000,0.6212899684906006
32000,0.581059455871582
34000,0.4875195026397705
36000,0.5794169902801514
38000,0.5834360122680664
40000,0.8618714809417725
42000,0.5819370746612549
44000,0.5493645668029785
46000,0.5731828212738037
48000,0.579240083694458
50000,0.5677244663238525
52000,0.5519423484802246
54000,0.5633554458618164
56000,0.574099063873291
58000,0.5687637329101562
60000,0.5560100078582764
62000,0.5664036273956299
64000,0.5529136657714844
66000,0.5717265605926514
68000,0.5585238933563232
70000,0.564633846282959
72000,0.5316965579986572
74000,0.5812523365020752
76000,0.5923638343811035
78000,0.6789286136627197
80000,0.5423746109008789
82000,0.5452594757080078
84000,0.5695285797119141
86000,0.5596694946289062
88000,0.5144805908203125
90000,0.5666980743408203
92000,0.5575530529022217
94000,0.5574510097503662
96000,0.5726282596588135
98000,0.592562198638916
100000,0.5559463500976562
