step,stat/ep_reward
2000,0.41825768404725194
4000,0.41325777186923374
6000,0.3375539947205227
8000,0.44444749278669693
10000,0.31864418266461214
12000,0.35395793958885663
14000,0.440611752259014
16000,0.3673072759195522
18000,0.2743773395780398
20000,0.37434950392838107
22000,0.42905636777541734
24000,0.38922193599907595
26000,0.35128430946616834
28000,0.3024267083094221
30000,0.3632887236610588
32000,0.4176301946399631
34000,0.3503699599088468
36000,0.4033023981088163
38000,0.40426216865211184
40000,0.4415752133371428
42000,0.39811689982456216
44000,0.4806448482710066
46000,0.44933520162964413
48000,0.351056016230351
50000,0.4115110712778153
52000,0.3203110393065341
54000,0.39765424529336874
56000,0.32340854226775534
58000,0.3902683666012827
60000,0.44862942266838857
62000,0.3416039720699345
64000,0.3085262937387716
66000,0.34679411378630326
68000,0.2953779588895129
70000,0.3074048515798896
72000,0.29470691055018805
74000,0.19179915560019709
76000,0.21631930373389946
78000,0.2533429409022354
80000,0.2796012936896318
82000,0.2999476011129393
84000,0.2045375697773905
86000,0.21331671120981444
88000,0.20184709473518417
90000,0.21059075700537058
92000,0.23543510044202973
94000,0.25241507549149633
96000,0.28116663253394214
98000,0.29099161708976934
100000,0.35949858430226717
