step,stat/step_time
2000,0.7269594669342041
4000,0.6234838962554932
6000,0.6698694229125977
8000,0.6041724681854248
10000,0.5658233165740967
12000,0.6408028602600098
14000,0.5950407981872559
16000,0.5758073329925537
18000,0.6187803745269775
20000,0.579235315322876
22000,0.5806360244750977
24000,0.8083398342132568
26000,0.6574113368988037
28000,0.5371577739715576
30000,0.5989086627960205
32000,0.594353437423706
34000,0.555305004119873
36000,0.595134973526001
38000,0.5940217971801758
40000,0.5827775001525879
42000,0.5876545906066895
44000,0.6172604560852051
46000,0.5759243965148926
48000,0.5583677291870117
50000,0.5921940803527832
52000,0.5485835075378418
54000,0.511566162109375
56000,0.5967800617218018
58000,0.5937173366546631
60000,0.5924689769744873
62000,0.5595180988311768
64000,0.5266203880310059
66000,0.5686924457550049
68000,0.5887906551361084
70000,0.5455999374389648
72000,0.535186767578125
74000,0.5932793617248535
76000,0.5655813217163086
78000,0.6128613948822021
80000,0.5873546600341797
82000,0.700035810470581
84000,0.5720796585083008
86000,0.5939507484436035
88000,0.5610795021057129
90000,0.6529378890991211
92000,0.7578542232513428
94000,0.5657541751861572
96000,0.6926469802856445
98000,0.5452358722686768
100000,0.5599737167358398
