step,adv_reward/adv_reward_scaled_min
10000,15.310853958129883
20000,11.257200241088867
30000,11.333613395690918
40000,12.518306732177734
50000,16.036516189575195
60000,14.964591979980469
70000,16.277286529541016
80000,12.043559074401855
90000,15.367534637451172
100000,14.932465553283691
110000,16.27215003967285
120000,12.881990432739258
130000,12.339435577392578
140000,12.281848907470703
150000,11.717429161071777
160000,10.82050609588623
170000,14.74579906463623
180000,14.677932739257812
190000,21.120223999023438
200000,11.170367240905762
210000,13.883658409118652
220000,15.874161720275879
230000,16.742361068725586
240000,15.641280174255371
250000,12.173160552978516
260000,20.719799041748047
270000,19.737632751464844
280000,20.939760208129883
290000,11.605719566345215
300000,12.912493705749512
310000,13.882465362548828
320000,72.28655242919922
330000,14.85187816619873
340000,12.169517517089844
350000,11.732000350952148
360000,15.448453903198242
370000,77.75147247314453
380000,13.057476043701172
390000,16.963542938232422
400000,13.699094772338867
410000,12.672194480895996
420000,79.46371459960938
430000,14.802974700927734
440000,16.309480667114258
450000,13.829774856567383
460000,18.187265396118164
470000,14.112168312072754
480000,13.569788932800293
490000,17.267433166503906
500000,14.825342178344727
