step,stat/ep_length
2000,28.8
4000,18.7
6000,33.9
8000,36.4
10000,38.8
12000,38.5
14000,39.2
16000,45.7
18000,48.6
20000,54.0
22000,42.3
24000,36.7
26000,40.9
28000,45.5
30000,51.9
32000,41.4
34000,24.2
36000,45.9
38000,39.9
40000,46.2
42000,45.6
44000,48.1
46000,47.4
48000,37.9
50000,57.7
52000,49.8
54000,66.9
56000,46.7
58000,59.0
60000,44.7
62000,48.6
64000,40.4
66000,50.1
68000,72.1
70000,74.9
72000,51.3
74000,79.8
76000,52.2
78000,84.3
80000,79.3
82000,82.9
84000,73.7
86000,87.0
88000,120.7
90000,150.0
92000,133.3
94000,112.0
96000,112.9
98000,142.1
100000,114.2
